artist_name,artist_id,country,begin_date,end_date,type,gender,disambiguation
Jontavious Willis,2385d5e1-8bfc-4d1c-b01a-e48f8dcb9784,US,1995,,Person,male,
Jon Stewart (With  Samantha Bee,27733f3b-f43d-45a0-a600-b42448cc6ad1,US,1969-10-25,,Person,female,
Rudy Vallee,7f211904-3b48-4c63-8acc-44f31b801f3f,US,1901-07-28,1986-07-03,Person,male,
Michael Hedges,fbaba2b0-3a6f-41b1-9ecd-f89c1a666e99,US,1953-12-31,1997-12-02,Person,male,American acoustic guitarist and songwriter
Celia Cruz,7b8e1188-9ca4-4aa5-8393-172de6fa04de,CU,1925-10-21,2003-07-16,Person,female,
Steve Curry,33ce4a70-005d-4563-bb6e-2d253fab9842,GB,1946-04-19,,Person,male,
Israel Houghton,98eb9014-d4d2-4658-82dd-b1a251113ea5,US,1971-05-19,,Person,male,
Molly Alicia Barth,8ef1df30-ae4f-4dbd-9351-1a32b208a01e,US,1981-01-25,,Person,female,
Dixie Hummingbirds,59f465cf-5f6f-4ddf-bf3d-f56c7776d340,US,1928,,Group,,
Ethel Merman And Broadway Show Cast,a17eed36-fd8f-4d71-898b-2da805ac7492,US,1908-01-16,1984-02-15,Person,female,
The Flecktones,830dce6f-c9ff-4ebe-944b-2ea2ab22fcdf,US,1989,,Group,,
Shellback,ed58ed4e-fd99-4903-878b-7518f4d7465a,SE,1985-02-01,,Person,male,
Mary Youngblood,cf680ee4-dc8c-4cf9-97b3-fee421b13854,US,1958-06-24,,Person,female,Seminole-Aleut composer and flautist
Siegel-Schwall Band,70248960-cb53-4ea4-943a-edb18f7d336f,US,1949-09-23,,Person,male,
Otis Rush,534ee493-bfac-4575-a44a-0ae41e2c3fe4,CA,1968-08,2018-01-19,Group,,Canadian rock trio
Lamont Dozier,b801e3ad-a23a-4ae8-9708-6c02a202e9e1,US,1941-06-16,2022-08-08,Person,male,
Graham Greene,50c2d07b-13ca-41e3-b857-bfd1aef56857,GB,1904-10-02,1991-04-03,Person,male,
Sturgill Simpson,f6e61750-a6b7-4d88-979b-052345cd0e4a,US,1978-06-08,,Person,male,American country singer and actor
Yoko Ono,b0b33754-a664-43b7-ba00-be0dc4ec2396,,1933-02-18,,Person,female,Japanese-American musician and artist
Laura Story,733d807e-745f-427d-b242-7ce96f6045bf,US,1978,,Person,female,
The New Hawks,1204d086-c851-4c37-a690-ea326188e14d,,,,,,
Bert Convy,f1fcdd2b-8403-4360-8f61-e18f0987c9fb,US,1933-07-23,1991-07-15,Person,male,
Nmon Ford,947163f5-f306-4d78-a316-8c3fb317ae50,US,1919-02-13,1991-10-17,Person,male,
"Nat ""King"" Cole Trio",7739b88f-8d40-4af5-b4d4-5e5e53755fd5,US,1937,1950,Group,,
Barry White,b904d624-9e05-4398-8f4f-88fbcf022f79,US,1944-09-12,2003-07-04,Person,male,
Robin Williams,53b106e7-0cc6-42cc-ac95-ed8d30a3a98e,US,1932-02-08,,Person,male,American score composer
Adam Abeshouse,0b76b22c-e75e-4c1c-b0b7-c28cc28fde34,US,1961-06-05,2024-10-10,Person,male,
Quinn Kelsey,f400e2ac-ce92-4774-8aa5-1e5154d2758e,US,1978-03-07,,Person,male,baritone
The Imperials,95db23d3-9f80-45ae-8c19-94c3c440d4b9,US,1964,,Group,,gospel/CCM group
Christopher Tin,bc37fe19-d935-48c0-b2ab-65212e09cf6c,US,1976,,Person,male,
Evelyn Glennie,ead6afb1-f957-4528-b778-b433cb35b1f9,GB,1965-07-19,,Person,female,percussionist
Martin Gabel,45958167-1b87-4a12-853f-8bddf0fa2c08,,,,,,Kompa
Paul Horn,98ee7535-03e4-4899-aa5c-40da2fe716dd,US,1930-03-17,2014-06-29,Person,male,
songwriters (Peabo Bryson,b8170690-3a95-42e4-adef-afc9576ed90c,US,1951-04-13,,Person,male,
Krist Novoselic,ac05e29f-0561-4445-bb26-5562d2389531,US,1965-05-16,,Person,male,
Wes Montgomery,663f8232-8c46-4851-803f-a91d31593b14,US,1923-03-06,1968-06-15,Person,male,
Michael Daugherty,f9f6e684-2351-4bc1-80e5-dac354726280,US,1954-04-28,,Person,male,
Queen Latifah,7a305f29-539a-456e-93b7-61b0e2ba3ef2,US,1970-03-18,,Person,female,
The Wayne Shorter Quartet,b1a2acf2-f076-4bb1-bb85-fda238ae2e85,US,,,Group,,
Sophia Loren (Kent Nagano; Russian National Orchestra),af15f678-f190-4c83-8b4c-46e88efd4597,US,1951-11-22,,Person,male,conductor
Takács Quartet (Edward Dusinberre,26b5a918-f124-4d95-b72d-bce0504f8cd6,GB,1968,,Person,male,
Paquito D'Rivera,073a7869-e45b-4343-a776-27a50dcc3c76,US,1948-06-04,,Person,male,
Bob Dylan And The Band,72c536dc-7137-4477-a521-567eeb840fa8,US,1941-05-24,,Person,male,
Maluma,e8979f75-9110-4df8-ac70-898898d080d1,CO,1994-01-28,,Person,male,"Juan Luis Londoño Arias, Colombian reggaeton/pop singer"
Fantastic Negrito,b7be8029-5ebe-4e4b-bc0c-a4d4756463c7,,1968-01-20,,Person,male,
Kansas City Symphony,67f13061-d237-44ab-8736-00b3a5fa82c7,US,1982,,Orchestra,,
Lee Ann Womack,16c5bb7a-35b7-418d-880e-7ed3399f1b40,US,1966-08-19,,Person,female,
Post Malone,b1e26560-60e5-4236-bbdb-9aa5a8d5ee19,US,1995-07-04,,Person,male,
Jeff Lorber Fusion,d42ba748-e3a1-4873-8434-39d495b787b7,US,1976,1984,Group,,
Ludwig Göransson,78471616-3cb4-4139-a148-aeac3c7d0f79,SE,1984-09-01,,Person,male,Swedish score composer
O'Landa Draper,6b14bacb-13dd-4235-9324-0380976a67b2,,1991-08-14,,Person,male,
Doris Rich,9fb7fe77-4e8b-4cbd-ba8f-84bcd80a24bc,US,1932-12-14,1995-07-24,Person,male,US country singer
Temple University Studio Orchestra,eff39ac9-2a33-453a-8e7a-ee4799408557,US,,,Group,,
Hank Williams,906bddec-bc73-49f8-ac1e-eaee691c6cf9,US,1923-09-17,1953-01-01,Person,male,country music legend
George Jones,f2903be0-79a7-4334-8cc5-e45309482a97,US,1931-09-12,2013-04-26,Person,male,US country music vocalist
Chorus Of Students And Alumni,89ad4ac3-39f7-470e-963a-56509c546377,,,,Other,,add compilations to this artist
Ramsey Lewis,fe19b809-e86c-4736-882a-53b72e23171b,US,1935-05-27,2022-09-12,Person,male,
Ringo Starr,300c4c73-33ac-4255-9d57-4e32627f5e13,GB,1940-07-07,,Person,male,The Beatles
Michael Kamen,adcc6c98-0bf1-4d54-84aa-2249cf5e46bf,US,1948-04-15,2003-11-18,Person,male,American score composer
Southern Avenue,7dc50a7c-d08c-4e2b-b196-37c72c575f7f,US,,,Group,,
Koffee,7d04679e-a855-4214-9543-febaf02de725,JM,2000-02-16,,Person,female,Jamaican reggae singer Mikayla Simpson
Johnny Mathis,48896dee-a985-424d-9849-84802f7e79c9,US,1935-09-30,,Person,male,US pop/soul singer
Evanescence,f4a31f0a-51dd-4fa7-986d-3095c40c5ed9,US,1995,,Group,,
Bobby Hill,3edc0ad0-c000-4c1d-b5fc-866832474842,AT,1940-07-27,,Person,male,Austrian singer Ferenc Gillming
Christian Gansch,4cbd2c5b-163c-4498-8a13-041846babceb,AT,1960,,Person,male,conductor
The Clash,8f92558c-2baa-4758-8c38-615519e9deda,GB,1976,1986,Group,,70s–80s British punk rock band
LA Opera Chorus; LA Opera Orchestra,9ade995f-2a67-4268-8220-07ffd2d4984e,,,,Choir,,
Tasha Cobbs Leonard; Tony Brown,82091270-4f04-49f2-bb02-1aa9a32aa46f,US,1981-07-07,,Person,female,
B.B. King,dcb03ce3-67a5-4eb3-b2d1-2a12d93a38f3,US,1925-09-16,2015-05-14,Person,male,
Darius Rucker,3ae70f76-ea53-4cc5-906e-d47a384202a1,US,1966-05-13,,Person,male,
Bright Eyes,78f797e3-4913-4026-aad0-1cd858bd735b,US,1995,,Group,,
Astrud Gilberto,8d08cabf-03a3-4f38-a815-8197a0984f19,BR,1940-03-30,2023-06-05,Person,female,
Kimbra,fad2875e-ba81-4637-b859-4684622dcb1c,US,1990-03-27,,Person,female,
Blair Underwood,70f0e309-5418-49b6-a130-666e2f76eecd,US,1983-03-10,,Person,female,
Tasha Cobbs Leonard,82091270-4f04-49f2-bb02-1aa9a32aa46f,US,1981-07-07,,Person,female,
Lil Wayne,ac9a487a-d9d2-4f27-bb23-0f4686488345,US,1982-09-27,,Person,male,
cond.),64c57a11-ca7a-463b-93fa-f4b545ea567c,,,,Person,male,
The Art Of Noise,be899560-1570-402e-9f95-3182898a8b70,GB,1983,2000,Group,,
Count Basie,0dbd6300-efdc-420b-857e-895e18fad317,US,1904-08-21,1984-04-26,Person,male,pianist
Chong,ca90c456-3e32-40a2-b0d6-84442fb359e7,US,1970,1986,Group,,comedy duo of Cheech Marin & Tommy Chong
The Cox Family,7b8c7275-4359-449e-ae21-e4fa657ccad3,US,,,Group,,
Sarah Vaughan,351d8bdf-33a1-45e2-8c04-c85fad20da55,US,1924-03-27,1990-04-03,Person,female,
Dido,d1353a0c-26fb-4318-a116-defde9c7c9ad,GB,1971-12-25,,Person,female,English singer‐songwriter
Caroline Hjelt,0374a8d1-3b68-4b53-b003-fa8a24fb4397,SE,1987-11-08,,Person,female,
Bill Cosby,0646d80c-7ee1-46e9-a169-2979dee41bc6,US,1937-07-12,,Person,male,
Juilliard Jazz Orchestra,dec63f48-67f3-4a72-8355-5a7fd846c1b5,FI,1975,,Orchestra,,
Ali Farka Touré,9be2a5ac-8201-489b-b5f6-91f958bf9060,ML,1939-10-31,2006-03-07,Person,male,
Gil Evans Project,83b1d510-c4ae-485b-91bf-c69b63044dd6,US,1912-05-13,1988-03-20,Person,male,
Music,331ce348-1b08-40b9-8ed7-0763b92bd003,GB,1971,,Group,,
Robert La Fasse,89ad4ac3-39f7-470e-963a-56509c546377,,,,Other,,add compilations to this artist
Lynn Anderson,354812d4-2dfb-4611-9a8f-8f8e795e48bf,US,1947-09-26,2015-07-30,Person,female,US country singer
producer; Third Coast Percussion (Sean Connors,24b226f7-c496-4e6d-b872-c9fa2fd75e4e,,,,Person,male,
Shirley Horn,1f72d108-f2dc-44cd-8213-8d3426cc2c9a,US,1934-05-01,2005-10-20,Person,female,
Melinda Dillon),7f242bd5-98d1-4ddf-96ea-93faa56229ae,DE,1988-04-29,,Person,female,Dominique Dillon
Ambrosian Singers,8f169b84-95d6-4797-bc00-4cd601fb631e,GB,1951,,Choir,,aka Ambrosian Opera Chorus / Ambrosian Chorus / Ambrosian Choir
Charles Ives,eb87b85e-857d-4c11-8aa9-4c55f3b54880,US,1874-10-20,1954-05-19,Person,male,composer
"Israel López ""Cachao""",d6060786-dac7-4101-80f1-8a10c81d0a7a,CU,1918-09-14,2008-03-22,Person,male,
Georg Solti,41259fa5-5f9b-445c-8bba-ec28bbb7f2e5,HU,1912-10-21,1997-09-05,Person,male,conductor
Chip Davis (Mannheim Steamroller),922a18b1-0aba-4868-8f38-2aa4f324fe16,US,1974,,Group,,
Caroline Shaw,85545102-7c29-4707-aea2-30ff55018df9,US,1910-05-23,2004-12-30,Person,male,
Joni Mitchell,a6de8ef9-b1a1-4756-97aa-481bbb8a4069,CA,1943-11-07,,Person,female,
J. Robert Spencer,399b3802-52c8-4dda-a7d9-11ac4e3be87a,,1932-05-09,1997-08-08,Person,male,"English lutenist, guitarist & musicologist"
producer; Peter Rutenberg,24b226f7-c496-4e6d-b872-c9fa2fd75e4e,,,,Person,male,
Blanton Alspaugh,35f39afb-ef20-4c8c-9ee6-bef74c49ce0f,US,,,Person,male,Producer
Bas,3ba54400-4c97-450f-b108-bcd90b9b2b76,US,1987-05-27,,Person,male,US rapper
Mel Lewis,b59ac58d-036e-4bba-8112-c32a34c4575b,US,1935-09-29,2022-10-28,Person,male,"Rock & Roll pianist, nicknamed “The Killer”"
Freddy Fender,e2050382-282f-40e5-8f33-01ee4647ad3f,US,1937-06-04,2006-10-14,Person,male,
Yebba,0aeea1ef-8d96-4556-8c4a-84b88ae271bb,US,1995-01-16,,Person,female,
Turtle Island Quartet,03f12006-5835-4158-8d8d-c9e3330f9dc7,SE,,,Group,,
Van McCoy,9fedd1a2-05e7-45cf-ae2a-875cd6398a87,GB,1943-08-20,,Person,male,Scottish actor
Yellowjackets,1243d99e-8f5a-4f7e-810c-5a1d20f41065,US,1981,,Group,,
Steve Mandell,5f156d32-c2a7-4870-a52a-7606327e7c81,US,,,Person,male,"US bluegrass guitarist ""Duelling Banjos"""
Christian Scott aTunde Adjuah,29b9d080-7de7-4608-8a50-57274a611bdd,US,1983-03-31,,Person,male,US jazz musician
"Hargus ""Pig"" Robbins",bd37e2e6-bf97-4f2c-b3fb-ead2d198c44e,US,1938-01-18,2022-01-30,Person,male,
Magín Díaz,f27c59fc-f3dc-4ba7-b223-f58382f802af,CO,1922-12-30,2017-11-28,Person,male,
YACHT,f6a0a03f-3b2f-4d3a-b4b4-34ca4ce7f3cb,,2002,,Group,,electronic project with Jona Bechtolt
Los Lobos,2b9967c7-3246-4658-a561-ded5408dd9af,US,1973,,Group,,Chicano rock band
Vicente García,2f1507e5-6e8b-4a67-828e-5ce3f75c1281,DO,,,Person,male,
Steve Gadd Band,71d6c8b0-0778-4931-9858-3d3d512f1aa7,US,,,Group,,
St. Louis Symphony,851b24ee-d28f-4535-ab0a-08c95862ba8a,US,1880,,Orchestra,,
Rod Stewart,a35237a0-4f47-40a6-b6f3-1e786db23402,GB,1945-01-10,,Person,male,
Lewis Nash,6b4804fa-9a98-4557-a327-a97dbad9ae93,US,1958-12-30,,Person,male,American jazz drummer
(The Maranatha! Kids),b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,GB,1960,1970-04-10,Group,,"UK rock band, “The Fab Four”"
The Boys Choir of Harlem,188d3eaa-26c4-4899-ae25-6138668518a6,US,1968,2007,Choir,,
Joe Harnell,77d72b22-8d17-4753-bb68-a7879bdcce02,US,1924-08-02,2005-07-14,Person,male,
The Winans,29e51d5b-33e6-4646-be96-245c77a49d36,US,1980,,Group,,
Howard Ashman,7a45c6ea-bb66-4e85-8643-271658fe935e,US,1950-05-03,1991-03-14,Person,male,
Billy Ocean,0e422e91-a42a-4b4d-8413-9baff67350f2,GB,1950-01-21,,Person,male,
Harry Connick,fd23e684-270f-4507-9cb0-a0e0d7854d16,US,1967-09-11,,Person,male,
Pablo Ziegler Trio,37680311-bc1f-4ae4-83a9-d7856e950a23,AR,1944-09-02,,Person,male,"pianist and composer, tango nuevo"
Bokanté,50803b59-5750-445e-bbe4-31764c32c876,,,,Group,,
John Linnell,b48f22c6-cab9-436c-a6d0-99839a19ee05,US,1959-06-12,,Person,male,
Delbert McClinton,d0a2f884-96a6-4f21-9f20-0893fd34a55a,US,1940-11-04,,Person,male,
Jars Of Clay,ca1ca0e3-8506-40b4-ac29-dbfb60c5a0bd,US,1993-09,,Group,,
Natalie Cole [,eb45032c-80da-469c-be20-1d09f08ef37f,US,1950-02-06,2015-12-31,Person,female,
Machito,8b280260-dacb-4195-a34d-16e5068de288,,1908-02-16,1984-04-19,Person,male,"Francisco Raúl Gutiérrez Grillo, cuban afro-jazz"
Rubén Blades,f050673a-dfb3-4200-b057-bf78213de36c,PA,1948-07-16,,Person,male,
Larry Combs,03b9bb34-67c8-4cbb-9b32-5a90bfd21482,US,1939,,Person,male,clarinetist
Clifford Brown,2a291f34-73cb-40c5-b721-eab1269c7ba8,US,1930-10-30,1956-06-26,Person,male,trumpet
Rainer Vilu; Estonian Philharmonic Chamber Choir,a6526557-c9a4-49fe-b272-774b192a8df9,EE,1975-08-14,,Person,male,bass vocalist
songwriters (Idina Menzel),929ca8c3-5df3-4fe9-bc59-f8d603780bce,US,1971-05-30,,Person,female,
Hillsong Worship; Ben Fielding,dabaab7a-e807-435e-b2d7-1403fcdc0671,AU,1983,,Group,,a/k/a Hillsong or Hillsong Live
Orquesta,be725fe7-b2e7-4c66-ad1d-6612055684ab,CU,1939-09-30,,Group,,
La Familia,a2a35cac-3fe6-4abb-a2d4-eb6465dbb0b7,RO,1996-01,,Group,,Romanian hip-hop group
songwriters (Justin Timberlake,596ffa74-3d08-44ef-b113-765d43d12738,US,1981-01-31,,Person,male,
Aaron Copland,aad3af83-5b59-4b86-a569-1a8409149b09,US,1900-11-14,1990-12-02,Person,male,composer
Gloria Cheng,388096db-ccce-43de-87b7-1ed72e3b5f8d,US,,,Person,female,American pianist
Academy Of St. Martin-In-The Fields,f0ac992d-edd9-4672-ac23-ba0ca93f6539,GB,1959,,Orchestra,,
Hermione Gingold,bc635975-0ab6-4d94-b918-9ef531dad1eb,GB,1897-12-09,1987-05-24,Person,female,
Joe Diffie,98b31574-fa4c-4cf1-bf32-681f7df45fe3,US,1958-12-28,2020-03-29,Person,male,
songwriters (Taylor Swift,20244d07-534f-4eff-b4d4-930878889970,US,1989-12-13,,Person,female,
Los Texmaniacs,1149b96b-8d72-4cac-897e-a6ba5145d792,US,,,Group,,
Jr.,4bc9e8c3-7eae-454f-a56c-bccf96f3926b,US,1925-12-08,1990-05-16,Person,male,
The Metropolitan Opera Chorus; The Metropolitan Opera Orchestra,9ade995f-2a67-4268-8220-07ffd2d4984e,,,,Choir,,
The String Theory),8f897c1c-aca9-413e-88a2-cf272a311374,US,,,Group,,
producer; Ian Dobie,24b226f7-c496-4e6d-b872-c9fa2fd75e4e,,,,Person,male,
Christopher Maltman,ef9648ce-1db1-4ee0-8d81-dae27d65235e,GB,1970-02-07,,Person,male,baritone
Jazmine Sullivan,6f92929a-6381-48ac-b348-83b43b9cf646,US,1987-04-09,,Person,female,
Henry Krieger,21112037-e5b0-40ad-9c48-d58944d5048b,US,1945-02-09,,Person,male,
Monica,af84073d-3b6d-4390-9d3f-bf65a91c824f,US,1980-10-24,,Person,female,US R&B singer
Gil Evans,83b1d510-c4ae-485b-91bf-c69b63044dd6,US,1912-05-13,1988-03-20,Person,male,
Queen Ida,b50415aa-637c-4631-b074-7debcdb36da9,US,1929-01-15,,Person,female,
The Silver Bullet Band,aeea3060-05ba-4dda-8c92-3dc899e24ce8,US,1974,,Group,,
MFSB,f5e66486-4481-4ebf-b1f9-f87ebabf5897,US,,,Group,,
producer,24b226f7-c496-4e6d-b872-c9fa2fd75e4e,,,,Person,male,
Phil Ramone,cfdad1a4-50c4-4a22-82ea-7705ac1a77f6,DE,,,Person,,German techno producer Fritz Leidig
Mei-Ann Chen,88d63dba-3200-4edb-bf04-4db1e6c9be79,US,1973,,Person,female,conductor
LeAnn Rimes,9092d8e1-9b38-4372-a96d-000b8561a8bc,US,1982-08-28,,Person,female,US country & pop singer
Helen Martin,5e6c760b-42e0-4df4-a221-0269355da00a,US,1917-06-07,1995-12-25,Person,male,American singer/actor
Luis Enrique + C4 Trio,825af4d1-5712-4624-8759-b4a5c7af629a,VE,2005,,Group,,
Blood,d4bd6a7a-e8d6-40e9-9d6b-ea27ab9f7b4f,DE,1986-03,,Group,,German death/grind band
Sara Parkins),69e885b0-0d62-4e63-8405-50037dc5cbb5,US,,,Person,female,US violinist
Kylie Minogue,2fddb92d-24b2-46a5-bf28-3aed46f4684c,AU,1968-05-28,,Person,female,
Benny Benassi,674bf89f-8e70-4472-929d-6b4ed6f98c88,IT,1967-07-13,,Person,male,"Italian DJ, producer & remixer"
Wisin y Yandel,3deeb747-c228-4d33-9892-f0aa081783c3,PR,,,Group,,
Tito Vandis,ed4a150d-10f8-487c-8b91-8c35825fd5b1,GR,1917-11-07,2003-02-23,Person,male,
Billy Childs Ensemble,aebcefdb-3faa-426d-9539-114ab4255ab1,US,1957-03-08,,Person,male,US composer/jazz pianist
Henry Rollins,656b39fb-979c-4c57-bb87-61d1a8eb38d1,US,1961-02-13,,Person,male,
James Cotton,8a40d683-e22f-491d-9bff-5e094d212964,US,1935-07-01,2017-03-16,Person,male,"US blues harmonica player, singer & songwriter"
JoJo,ed29398b-bbf3-42a0-8eff-8631509c271d,US,1990-12-20,,Person,female,American singer and actress
Paul Appleby,a4427870-c931-4582-acad-22cea35c1b49,US,1991,,Person,male,
Rosanne Cash,d43d12a1-2dc9-4257-a2fd-0a3bb1081b86,US,1932-02-26,2003-09-12,Person,male,country music legend
Yuja Wang,47c8a452-4efb-45b4-a0d3-df506dbe42b2,GB,1979,1991,Group,,
Faith Hill,406552d4-5ba1-4226-b7c0-367bc50fc767,US,1967-09-21,,Person,female,country pop singer
Cardi B,2f3c4d70-0462-40da-bba3-0aec5772c556,US,1992-10-11,,Person,female,American rapper
Bjoerling In Opera,125ec42a-7229-4250-afc5-e057484327fe,XW,,,Other,not applicable,"Special Purpose Artist – Do not add releases here, if possible."
Larry Butler,fec55784-ff5c-4992-83dd-1f7c4b10c6bf,US,1939-12-08,2025-02-20,Person,male,soul singer
Gustavo Dudamel,4c8702d6-86f9-4ef0-a9ee-08042481c542,VE,1981-01-26,,Person,male,conductor and violinist
White,b904d624-9e05-4398-8f4f-88fbcf022f79,US,1944-09-12,2003-07-04,Person,male,
Others,2baa5fd3-b53c-45ff-bca3-9f8e8245a162,,2002,,Group,,New York gothic horror metal band
conductor; Apollo's Fire,119d8f48-84dd-4cd7-93e7-2a5eca6cc9db,,2021,,Group,,Cape Breton band
Michael Fine,23b0f3d6-ba54-4597-a1c7-24c6dd348ef7,GB,1984,1996,Group,,
Malcolm-Jamal Warner,0e669587-4f57-4c7b-9aa1-793324d6c380,US,1970-08-18,,Person,male,
Julian Bream,5bada1be-28e1-45b8-9d89-6e14700d82d9,GB,1933-07-15,2020-08-14,Person,male,British classical guitarist and lutenist
Dick Oatts,4eedd82d-56cd-4829-b38e-e98968aaae78,US,1953-04-02,,Person,male,
Little Joe,2f43e416-f1bf-4f04-8853-a0019aa12441,US,1929-01-13,1994-05-23,Person,male,jazz guitarist
Natalie Grant,f1ef4954-8ab5-45c8-a677-fa9b06e20027,US,1971-12-21,,Person,female,Contemporary Christian music
Tina Turner,9072df14-b61e-42e2-b4f4-6bbb7fdb5586,CH,1939-11-26,2023-05-24,Person,female,
Lambert Orkis,4d9b0383-11a5-4faa-b8c8-30416df1ce1d,US,1946-04-20,,Person,male,pianist
songwriters (A.R. Rahman,e0bba708-bdd3-478d-84ea-c706413bedab,IN,1967-01-06,,Person,male,
Robert Shaw Chorale,8f180909-aa78-4616-ab7c-fe0b7e4d9f75,US,1948,1965,Choir,,
Petula Clark,40e69149-45a7-4dab-8128-c5a4d9654eeb,GB,1932-11-15,,Person,female,English singer & actress
Ildar Abdrazakov,3a9b9085-8514-4fa5-add6-e12145f008d7,RU,1969-07-11,,Person,male,operatic bass
Juilliard String Quartet (Claus Adam,8ee62ca4-6407-4564-b5b4-a8f87427be2d,US,1946,,Group,,
Shabba Ranks,c0336f2a-610f-4b38-bc13-eb07393425a7,JM,1966-01-17,,Person,male,
Vicente Fernández,3b829056-d975-4ae7-be3c-20661ce980e8,MX,1940-02-17,2021-12-12,Person,male,Mexican singer
Charles Munch,372402df-47a1-42da-8100-d3377a50266c,FR,1891-09-26,1968-11-06,Person,male,conductor and violinist
Chorus of the Royal Opera House,2943950b-96c7-4ecc-ac48-8aceb6794a90,GB,,,Choir,,
Steve Barnett,55111838-f001-494a-a1b5-9d818db85810,AU,1987-11-03,,Person,female,
Garry Morris,b8634d0b-e1f8-4671-9ed9-21e9a03973ed,CA,1970-05-25,,Person,male,Canadian score composer
Indigo Girls,00c49f40-d715-4b79-b223-432048602cce,US,1985,,Group,,
Los Tigres Del Norte,75cdc7ad-63b6-48b3-8de2-617d08a9ddf8,US,1968,,Group,,
Reckless Kelly,c021780e-b6f4-48cf-8c4f-44a18f72dc50,US,1996-02,,Group,,
Fatboy Slim,34c63966-445c-4613-afe1-4f0e1e53ae9a,GB,1963-07-31,,Person,male,
Ward Swingle (The Swingle Singers),1709e9f2-c77f-4779-b67d-44905fbc35c0,FR,1962,,Group,,
Cissy Houston,eb3bcef2-0a08-4afc-8315-1730c3c35c59,US,1933-09-30,2024-10-07,Person,female,
Keb' Mo',280ddd36-ac7d-4446-8689-a548d6f3458e,US,1951-10-03,,Person,male,
Linda Ronstadt,498f2581-be21-4eef-8756-fbb89d79b1c0,US,1946-07-15,,Person,female,
Marvin Gaye,afdb7919-059d-43c1-b668-ba1d265e7e42,US,1939-04-02,1984-04-01,Person,male,
George Harrison,42a8f507-8412-4611-854f-926571049fa0,GB,1943-02-24,2001-11-29,Person,male,The Beatles
J.B. Hutto,cc92a86b-a076-4ac6-8428-2fa01b13215f,US,1926-04-26,1983-06-12,Person,male,
Dinah Washington,d385947d-c00d-4311-9cf1-a032a1d4040b,US,1924-08-29,1963-12-14,Person,female,
Jimmy Page,519774a4-3b18-4042-b8c0-927845a616c9,GB,1944-01-09,,Person,male,
Emotions,6ff13427-08ff-4da2-bee8-892e1fa22d3c,US,1968,,Group,,"Chicago soul, disco and R&B female vocal group"
Dolly Parton,1d543e07-d0d2-4834-a8db-d65c50c2a856,US,1946-01-19,,Person,female,
Ashley Cleveland,78fc7c1d-cf57-4d9f-9eb5-bb4b4c9d5257,US,1957-02-02,,Person,female,
David Lee Garza,7ad00e76-89cf-41f1-987e-2dbc817f902e,US,,,Person,male,
Albert Lee,5a2463af-eef0-4a22-bc8f-5865fbe9c78e,US,1920-05-26,2002-01-21,Person,female,jazz vocalist
Amy Hānaiali’i,56b8a059-a5c1-4e6c-9cd6-d5ede14dff9b,,,,Person,female,Hawaiian entertainer
Bryan Sutton,584f1bd9-01eb-4f7e-8695-2fa72bb7bf27,US,1973,,Person,male,
Julieta Venegas,601f8530-9009-4f73-94fb-a355b4497b70,MX,1970-11-24,,Person,female,
Barry Gibb,b02e4ca5-312a-4d2e-b087-30db9d5ec579,AU,1946-09-01,,Person,male,
London Symphony Orchestra/Chamber Choir,38712b4c-0fd4-4c65-8c7a-45676fecc973,GB,1904,,Orchestra,,
A Great Big World With Christina Aguilera,b202beb7-99bd-47e7-8b72-195c8d72ebdd,US,1980-12-18,,Person,female,
Gunna,100b8734-f4f0-4536-9960-47f7c59d1b4c,US,1993-06-14,,Person,male,US rapper
James Galway,84045b93-beb0-4bc8-a855-93266ec6bbdc,GB,1939-12-08,,Person,male,flautist
Juice Newton,80f71f44-b3cd-4386-9768-b3398180f708,US,1952-02-18,,Person,female,"American pop and country singer, songwriter, and musician"
Frank Foster,c62ceb28-084f-47e4-b780-f47ab701b7b5,US,1928-09-23,2011-07-26,Person,male,saxophonist
Ariana Grande,f4fdbb4c-e4b7-47a0-b83b-d91bbfcfa387,US,1993-06-26,,Person,female,
Tony Bennett,8be0594f-8c13-46bb-ab06-f93ffba5c776,US,1926-08-03,2023-07-21,Person,male,US jazz/standards vocalist
Buddy Guy,4336a134-d091-4e54-9967-c7c433db6d4e,US,1936-07-30,,Person,male,
Abigail Washburn,545e6dac-993f-4841-8464-df0f5eadb7c2,,1977-11-10,,Person,female,
Fran Walsh,c6f5969f-1f65-465c-8603-ec2d1e31e39d,US,1947-11-20,,Person,male,Eagles/James Gang
Sergio Mendes,6bf591c4-b050-478e-9d9f-167394d66c90,BR,1941-02-11,2024-09-05,Person,male,
Mario Zeffiri,249e48f4-a319-43a9-929d-66f16585249a,,,,Person,,
songwriters (Bryan Adams),4dbf5678-7a31-406a-abbe-232f8ac2cd63,CA,1959-11-05,,Person,male,Canadian singer/songwriter
Marvin Winans,cddb9dd6-f891-48ac-8d06-e6caf620d0c5,US,1958-03-05,,Person,male,
5th Dimension,4f1949ab-fefd-4bf3-9317-814084c29cc0,US,1966,,Group,,1960’s group
Vampire Weekend,af37c51c-0790-4a29-b995-456f98a6b8c9,US,2006-02-06,,Group,,
Thad Jones,f2903be0-79a7-4334-8cc5-e45309482a97,US,1931-09-12,2013-04-26,Person,male,US country music vocalist
