artist_name,artist_id,country,begin_date,end_date,type,gender,disambiguation
Gerald Levert,9363bf34-2bc4-471e-b6c9-9e8aac379551,US,1966-07-13,2006-11-10,Person,male,
Sammy Smith,03ad1736-b7c9-412a-b442-82536d63a5c4,US,1969-08-06,2003-10-21,Person,male,US singer-songwriter
Aziz Ansari,fa4da603-76c1-465c-b573-42d71847a7a5,US,1983-02-23,,Person,male,
Miles Davis Quintet,fe7245e7-d734-4ca1-8e26-691883f58201,US,1955,1968,Group,,"US jazz group, active 1955–58 and 1964–68"
Aymée Nuviola,29f7bb34-556c-45c0-b07e-a3376256a2ad,CU,1973-01-08,,Person,female,
Boys Noize,d2f4a968-1f6e-4a4a-9376-ee2b2a50c87a,DE,1982-08-22,,Person,male,
The Light Crust Doughboys,dea75275-b0d1-4794-80c5-82c5f0dbf9c7,US,1931,,Group,,
Gilley's Urban Cowboy Band,9c581498-5db5-4531-9746-abb8890d38a2,,,,Group,,
Future,48262e82-db9f-4a92-b650-dfef979b73ec,US,1983-11-20,,Person,male,US rapper Nayvadius Cash
guitar; Salli Terri,defba3df-b0f3-4ef1-8e1f-4ef88cc8fc42,US,1935-02-03,1996-05-17,Person,male,
Philadelphia Brass Ensemble,a479fb09-9e36-44d7-a26e-07c987a4856f,US,,,Group,,
Anita Brevik,654fe362-240b-4d73-ac3a-c3c824d0f496,NO,,,Person,female,
Art Neville,f03e25f3-c8e5-42db-b2c3-8cbc0bf878fd,US,1937-12-17,2019-07-22,Person,male,
Travis Tritt,615caab0-9cc2-4c24-9667-f46894be726e,US,1963-02-09,,Person,male,
Chick Corea Akoustic Band,81fe165e-2cfe-4c52-9bf0-1853647bf489,,,,Group,,
Cecil McBee,cf362673-150d-4a99-8e7b-22a5fbaaf713,US,1935-05-19,,Person,male,
Burt Bacharach,2882ffa3-dec9-4055-a842-a950728bcb02,US,1928-05-12,2023-02-08,Person,male,
Mylon LeFevre,3302b3e9-eaf0-4edc-845c-65272c3e8806,US,1944-10-06,2023-09-08,Person,male,
NAO,c1e2f905-2ef2-4f2d-8e9a-c5959573b7ec,JP,1985-01-26,,Person,female,former fripSide member
The Band Perry,28955336-2348-488a-9381-e3a7b0107343,US,2009,,Group,,
Hillary Scott,440fd8aa-2a36-460c-8615-8af2cc06d62e,US,,,Person,male,ambient / drone musician
Hannu Lintu,4c1f3d69-e159-4589-a2c6-85934cf3932d,FI,1967-10-13,,Person,male,conductor
Arjona,40627299-0979-45ba-8924-2af5fdc36ea8,GT,1964-01-19,,Person,male,
Ward Stare,d7eaff75-2209-434c-8d7f-fe89f124dc44,,,,,,
Marie-Therese Ghirardi,73e23e99-d4ae-4311-8f97-40b3176be162,FR,,,Person,female,guitarist
David Murray,89380b6c-0961-44ad-a7fe-f9115d840aac,US,1955-02-19,,Person,male,jazz saxophonist and clarinetist
John Aldis Choir; London Symphony Orchestra,a1b4cd1d-fbd2-4831-b717-5683496d85c3,GB,1929-08-10,2010-12-20,Person,male,chorusmaster and conductor
Randy Scruggs,2913c4c7-cc3a-413c-a0ad-021ca725274d,US,1953-08-03,2018-04-17,Person,male,
J.I.D,d616b606-cf6a-4b6e-ab0f-e253b8db6610,US,1990-10-31,,Person,male,rapper
Wild Up,5276498e-1f61-458e-8d25-13d7378ed0b5,JP,2011,,Group,,
Steve Lillywhite,a77b19a0-e79f-468a-9798-4e3e513a0089,GB,1955-03-15,,Person,male,
Eddie Daniels,f31b4a7b-ac26-45af-8241-7fbc7212f23e,US,1941-10-19,,Person,male,
Glynis Johns,35b4d9cc-918a-4496-9b9b-52fac536fbec,GB,1923-10-05,2024-01-04,Person,female,
Ben Harper,1582a5b8-538e-45e7-9ae4-4099439a0e79,US,1969-10-28,,Person,male,"singer, Weissenborn guitar player, The Innocent Criminals"
Swingle Singers; New York Philharmonic,1709e9f2-c77f-4779-b67d-44905fbc35c0,FR,1962,,Group,,
Alan Copeland Singers,d138ef96-814b-44c7-98d8-28288bab4f1a,,,,Group,,
The Carters,4a865087-4319-44cb-afe9-bc6ca51b1523,US,2018,,Group,,Beyoncé & JAY-Z
Włodek Pawlik Trio,a5797807-8f15-46ef-ae8a-92525be32121,,,,Group,,
Cee Lo Green,2c69465c-0f76-45ce-90a2-1ed0fdacc997,US,1974-05-30,,Person,male,
Jimmy Carter,b88ca659-0393-4a62-abd8-f290e6c7a7e2,US,1954-11-18,,Person,male,American score composer
Frank Yankovic,7746d775-9550-4360-b8d5-c37bd448ce01,US,1959-10-23,,Person,male,
Patty Loveless,e6cb4a73-6253-41c9-9450-f1862d30584e,US,1957-01-04,,Person,female,
Punch Brothers,72359492-22be-4ed9-aaa0-efa434fb2b01,US,1969-03-26,2014-10-28,Group,,
Ron Funches,ed7203a5-a5d2-451d-a0ba-f13433166076,US,1983-03-12,,Person,male,
Christine Brewer,9775a551-e2b9-4989-838a-ffdb2175cd62,US,1931-05-07,2007-10-17,Person,female,
Joe South,399fc572-6f08-4dee-b5fc-213c8a4d050b,US,1940-02-28,2012-09-05,Person,male,
Gotye,6f6fd596-76e0-4b82-aa37-f558ac2d337b,AU,1980-05-21,,Person,male,
Anthony Dean Griffey,14b8f34d-be04-4727-91f0-7b757bc363ab,,1968,,Person,male,tenor
Noble Sissle,090c459b-3ae3-4c85-833d-bfbd8e1aaf5e,US,1889-07-10,1975-12-17,Person,male,
Juilliard String Quartet (Earl Carlyss,c90da3ad-9599-4e7d-bd18-65079697db36,US,,,Person,male,violinist
The Count Basie Orchestra,885f0f99-e945-4181-9990-bff2762ef9b8,US,1935,,Group,,
Wine,78761837-4b00-4935-b7be-601697900e66,CA,1969,,Group,,
Original Cast Including Bernadette Peters,87f63ba8-cbdd-49ee-a976-416778f51f43,US,1948-02-28,,Person,female,
Kendrick Lamar,381086ea-f511-4aba-bdf9-71c753dc5077,US,1987-06-17,,Person,male,US rapper
Colbie Caillat,efc8a006-d0c6-4a9b-8cb1-91ca770fa2b9,US,1985-05-28,,Person,female,
Youssou N'Dour,af081ea2-7a2c-4fbd-8200-92d62056b5f5,SN,1959-10-01,,Person,male,
Bon Iver,437a0e49-c6ae-42f6-a6c1-84f25ed366bc,US,2006,,Group,,US indie folk band
Shelley Berman,b63fa338-d106-4da3-8e57-ef992d46c21c,US,1925-02-03,2017-09-01,Person,male,
Jimmy Gonzalez y El Grupo Mazz,361ebccc-5d14-4a91-99d0-4dac61993218,,,,Group,,
Ben Kingsley,2ec3fe28-3180-4265-aee4-bc752e1b3846,,1943-12-31,,Person,,
Bill Harley,e69e5fb7-0c40-4033-a247-abec8d897eaa,US,,,Person,male,
Dingle Yandell,ffb3b6c8-1c22-41ae-b9a7-6dcba4696d52,GB,,,Person,male,
Beyoncé,859d0860-d480-4efd-970c-c05d5f1776b8,US,1981-09-04,,Person,female,
Patti Page,46bd1529-4301-4d10-9124-17d9e858034e,US,1927-11-08,2013-01-01,Person,female,
Steve Lawrence,38931c3d-5e87-461b-8982-84428d8a5a5d,US,1935-07-08,2024-03-07,Person,male,American singer and actor
Muse,9c9f1380-2516-4fc9-a3e6-f9f61941d090,GB,1994,,Group,,UK rock band
Paquito D'Rivera And Trio Corrente,073a7869-e45b-4343-a776-27a50dcc3c76,US,1948-06-04,,Person,male,
James Newton Howard,f6580b26-77f7-4a7b-8513-6db0476e8f21,US,1951-06-09,,Person,male,American score composer
Alvin Love III,e3c49f0f-3161-43ed-97a9-13d2f7924d2e,,,,Person,male,
The Zawinul Syndicate,88b837f6-a304-4e67-a3ce-a299a28342ff,,,,Group,,
Broken Heart,bdbd48f5-abf3-4a4f-9a21-4551dbc3fde9,US,1973,,Group,,"rock band, Ann and Nancy Wilson"
Orchestra Del Maggio Musicale,9a563a72-61ae-4b06-a9a9-6328e62d7ab0,IT,1928,,Orchestra,,
Take 6,abbbef3b-19d7-4ef8-9ef2-e4d2c556509c,US,1987,,Group,,a cappella gospel sextet
John D. Loudermilk,e5fbd7a7-eaaa-49fa-8512-ac2d1b416011,US,1934-03-31,2016-09-21,Person,male,
Social House,9854d99f-d954-4c0f-9ae5-58a0cdd885f5,AU,1985,,Group,,Australian rock group
Lautaro Greco,bb839dd4-94be-4732-b014-135a64c340a6,FR,1927-02-07,2020-09-23,Person,female,French singer and actress
Eminem,b95ce3ff-3d05-4e87-9e01-c97b66af13d4,US,1972-10-17,,Person,male,US rapper
Reba McEntire,3ec17e85-9284-4f4c-8831-4e56c2354cdb,US,1955-03-28,,Person,female,
Eve,1ac10f5e-2079-4435-b78f-dda6ecdeba15,US,1978-11-10,,Person,female,US rapper/singer
Roy Orbison,0bbbc496-c7b5-4b3f-bb6d-bd312827d6e5,US,1936-04-23,1988-12-06,Person,male,
The Manhattan Transfer,02390d49-c321-479b-b6f4-cd76f32fb887,US,1969,2023-12,Group,,
